regularization,linear_regularization,rank,adagrad_momentum_weighting,SGD
1e-09,3e-10,40,0.95,0.0037622237600219107
1e-10,1e-08,40,0.9,0.003697200886840184
1e-06,1e-08,40,0.9,0.013896212501040558
3e-08,3e-06,40,0.95,0.00544454166897019
3e-10,3e-09,40,0.99,0.003653418077534335
1e-06,3e-09,40,0.95,0.013071821599985257
1e-06,3e-09,40,0.99,0.012676410089236865
1e-08,1e-10,40,0.95,0.002892191345492118
3e-08,1e-08,40,0.99,0.0038075634326485046
3e-07,3e-08,40,0.99,0.007963657726458477
1e-07,1e-06,40,0.99,0.00424704370719023
3e-08,1e-08,40,0.95,0.0036011678381268836
3e-07,3e-08,40,0.95,0.008467620737927796
3e-09,3e-07,40,0.99,0.003407322468333718
3e-09,1e-10,40,0.9,0.0034436704609649886
3e-08,1e-06,40,0.99,0.0039073615487803404
1e-09,1e-07,40,0.9,0.0029248537025069314
3e-09,3e-06,40,0.9,0.004782159871434863
3e-09,3e-06,40,0.95,0.004966314561374412
3e-06,1e-07,40,0.95,0.010378606918700597
1e-10,3e-10,40,0.9,0.0028108531801634006
1e-08,1e-08,40,0.9,0.0030106718214728944
1e-10,3e-07,40,0.99,0.003912397525032138
3e-10,1e-08,40,0.95,0.003408879331654463
3e-07,1e-10,40,0.9,0.008229786036143376
1e-10,1e-07,40,0.9,0.0034488811871813594
3e-07,3e-07,40,0.95,0.008184891181608424
3e-06,1e-09,40,0.99,0.010409934821440488
3e-09,3e-08,40,0.95,0.0035792605471135436
1e-08,1e-06,40,0.9,0.003930714498591516
3e-06,1e-10,40,0.9,0.010566892062348246
1e-09,1e-09,40,0.95,0.0038963364146517993
1e-09,1e-09,40,0.99,0.004111993757295811
1e-07,3e-09,40,0.95,0.004598513545028618
1e-07,1e-10,40,0.95,0.004732086063404371
1e-07,3e-07,40,0.9,0.004138174479260992
3e-10,3e-07,40,0.99,0.003421350124580839
3e-10,3e-07,40,0.95,0.003202404305330764
1e-09,1e-06,40,0.9,0.003616895334938491
1e-08,3e-09,40,0.95,0.0034827350212273543
1e-06,3e-08,40,0.95,0.01259701005987887
3e-07,1e-06,40,0.95,0.008285467729400631
1e-07,3e-08,40,0.95,0.00513903107181461
1e-09,1e-08,40,0.95,0.0029671273075732823
1e-07,3e-08,40,0.99,0.005395135088077159
3e-08,3e-10,40,0.95,0.003583105046334159
1e-08,1e-07,40,0.99,0.003926091567710528
3e-09,1e-07,40,0.99,0.003893889915147772
1e-06,1e-10,40,0.9,0.012742195507718549
1e-06,1e-07,40,0.9,0.01319748271087396
1e-06,3e-07,40,0.99,0.013030104017533458
1e-06,1e-10,40,0.99,0.013299774985591071
1e-07,1e-09,40,0.95,0.005000597327151633
1e-09,3e-07,40,0.99,0.003599547429364475
1e-09,1e-10,40,0.95,0.003702538703939881
1e-10,1e-09,40,0.99,0.004079188423037256
1e-09,1e-10,40,0.9,0.0029849041448785237
3e-06,3e-07,40,0.95,0.01034940778825642
3e-06,3e-10,40,0.95,0.010219679769101283
1e-09,3e-09,40,0.99,0.0038103276593608472
