rank,PureSVD
1,0.010351991088833194
5,0.025498468393205232
10,0.030932470064049013
15,0.03517488164856586
20,0.03900403787245892
30,0.0409640768588137
50,0.04576162628794207
60,0.04780938457254247
75,0.047265664160401
100,0.04803104984683932
125,0.049979392926761346
150,0.05169548872180451
200,0.049784878863826224
250,0.04597925368978
300,0.0470969089390142
350,0.046497772208298524
400,0.045896825396825394
500,0.04312628794207741
750,0.03832428292954609
1000,0.03504413812308549
1250,0.03168838763575606
1500,0.029640211640211637
1750,0.026782790309106096
2000,0.024129908103592314
2500,0.021893065998329155
3000,0.01985240879977722
