rank,PureSVD(cs)
1,0.005746232866115907
5,0.0054801355239951725
10,0.007018704167826975
15,0.008062401373804883
20,0.008194483121383706
30,0.009408745629505864
50,0.010807497137906494
60,0.010721054178656517
75,0.009864746743401714
100,0.010473908536774034
125,0.011062764937033943
150,0.010522061326154894
200,0.009983678331631546
250,0.010634031065317613
300,0.010921980878121228
350,0.010750835421888053
400,0.012016538259228316
500,0.01072356817970853
750,0.009745621770475572
1000,0.008767095207153686
