regularization,linear_regularization,rank,adagrad_momentum_weighting,FM(cs)
1e-09,3e-10,40,0.9,0.016397794913419913
3e-08,3e-08,40,0.9,0.013485299422799425
3e-08,3e-08,40,0.95,0.01336185515873016
3e-09,1e-09,40,0.99,0.013878742784992786
3e-10,3e-09,40,0.9,0.01342216810966811
3e-08,1e-08,40,0.9,0.015064145923520924
1e-10,3e-08,40,0.99,0.01508387445887446
1e-07,1e-06,40,0.99,0.013171897546897546
3e-09,1e-10,40,0.99,0.013493190836940838
3e-08,1e-06,40,0.95,0.015276650432900434
1e-09,1e-07,40,0.99,0.015208446067821069
3e-09,3e-06,40,0.99,0.014632372835497835
1e-07,3e-06,40,0.9,0.013479099025974026
1e-07,3e-06,40,0.95,0.01254847582972583
1e-08,1e-08,40,0.99,0.009719967532467533
3e-06,1e-07,40,0.99,0.016932156385281387
3e-07,3e-09,40,0.99,0.016173453282828282
3e-07,3e-09,40,0.95,0.013967239357864359
3e-09,3e-08,40,0.99,0.013300414862914865
3e-08,1e-09,40,0.9,0.015302015692640693
1e-10,3e-09,40,0.9,0.013986404220779222
3e-09,3e-08,40,0.95,0.012870332792207792
1e-08,1e-06,40,0.95,0.013853377525252526
3e-10,3e-08,40,0.9,0.011383364898989896
1e-07,3e-09,40,0.9,0.013032106782106782
1e-06,1e-06,40,0.9,0.014679157647907648
3e-09,3e-09,40,0.99,0.015455898268398268
1e-10,3e-06,40,0.9,0.01419439935064935
3e-10,1e-09,40,0.9,0.01348473575036075
1e-10,3e-06,40,0.99,0.012902462121212122
3e-09,3e-09,40,0.9,0.014639700577200578
1e-07,3e-10,40,0.95,0.011921672077922076
3e-09,3e-10,40,0.99,0.011847830988455989
1e-08,3e-10,40,0.9,0.012749143217893218
1e-06,1e-06,40,0.95,0.012850040584415585
3e-10,1e-10,40,0.95,0.013967239357864359
3e-10,3e-07,40,0.95,0.014674084595959598
1e-09,1e-06,40,0.95,0.015032580266955269
1e-08,3e-09,40,0.99,0.010838857323232323
1e-10,1e-06,40,0.99,0.02015636273448774
3e-07,1e-06,40,0.9,0.011674783549783553
1e-07,3e-08,40,0.95,0.009098236832611833
1e-09,3e-08,40,0.99,0.013144277597402597
3e-08,3e-10,40,0.95,0.012946992243867245
1e-08,1e-07,40,0.95,0.010909316378066379
3e-08,3e-10,40,0.9,0.014558531746031746
1e-08,1e-07,40,0.9,0.013613816738816738
1e-09,3e-08,40,0.95,0.017944512085137088
1e-07,1e-08,40,0.95,0.010705830627705627
3e-06,3e-06,40,0.99,0.013901289682539683
1e-07,1e-07,40,0.95,0.018934884559884558
1e-06,1e-10,40,0.99,0.015188153860028858
3e-08,3e-07,40,0.95,0.013148786976911978
1e-09,3e-07,40,0.95,0.013444151334776335
3e-10,1e-06,40,0.9,0.012583423520923521
3e-07,1e-09,40,0.99,0.01823649440836941
3e-07,1e-09,40,0.9,0.01289569805194805
3e-10,1e-06,40,0.95,0.015703914141414144
3e-06,3e-07,40,0.99,0.016381448412698413
1e-10,1e-07,40,0.95,0.015046672077922077
