alpha,beta,LCE(cs)
0.5,0.3,0.013761498917748919
0.7,0.0,0.014752435064935066
0.1,0.3,0.01576648178210678
0.5,0.05,0.014582769660894659
0.9,0.0,0.02062421085858586
0.3,0.3,0.014370265151515151
0.9,0.05,0.019677241161616163
0.9,0.3,0.02047032828282828
0.3,0.1,0.017182990620490623
0.3,0.0,0.014379283910533912
0.5,0.1,0.014778927669552671
0.9,0.1,0.0203062996031746
0.1,0.1,0.018441107503607505
0.1,0.0,0.015310470779220778
0.3,0.05,0.014180307539682541
0.7,0.3,0.014697195165945167
0.7,0.1,0.014904626623376625
0.7,0.05,0.014772163600288601
0.5,0.0,0.01758094336219336
0.1,0.05,0.01796593163780664
